"path_index","lambda_gamma","lambda_Omega","target_loss_ref","pg_final_loss_at_stop","pg_target_reached","pg_outer_iters","pg_elapsed_sec","pg_stop_reason","pg_converged"
1,4.28601756969282,8.86040963730461,138.086023084597,138.086023084596,FALSE,0,9.17911529541016e-05,"max_iter_no_target",FALSE
2,3.66654767904032,7.57979029781112,138.086023084597,138.086023084596,FALSE,0,8.0108642578125e-05,"max_iter_no_target",FALSE
3,3.13661147302283,6.4842623886032,137.641763348267,137.565272201783,TRUE,2,0.00223684310913086,"target_reached",TRUE
4,2.68326840230086,5.54707413691853,136.310727501692,136.31072743979,TRUE,19,0.0210180282592773,"target_reached",TRUE
5,2.29544825067144,4.74534027718437,134.237597357416,134.237597253782,TRUE,76,0.0412349700927734,"target_reached",TRUE
6,1.96368081068312,4.05948321411427,131.372352704413,131.372352686074,TRUE,36,0.0200610160827637,"target_reached",TRUE
7,1.67986462997683,3.47275495603733,127.863931655606,127.863931648991,TRUE,43,0.0235600471496582,"target_reached",TRUE
8,1.4370691813531,2.97082814451621,123.902914410745,123.902914345213,TRUE,45,0.0238230228424072,"target_reached",TRUE
9,1.22936562574292,2.54144619357784,119.641518110535,119.642000322971,FALSE,10000,5.01603293418884,"max_iter_no_target",FALSE
10,1.05168203547115,2.17412399528183,115.188498848201,115.250316200254,FALSE,10000,4.93581390380859,"max_iter_no_target",FALSE
11,0.899679542499283,1.85989188313518,110.6278773436,110.640018077824,FALSE,10000,5.08480381965637,"max_iter_no_target",FALSE
12,0.769646387302891,1.5910766011778,106.034855441299,106.043264920218,FALSE,10000,5.04246592521667,"max_iter_no_target",FALSE
13,0.658407281155739,1.3611139302077,101.46841088142,101.47353922554,FALSE,10000,5.04716897010803,"max_iter_no_target",FALSE
14,0.563245868531947,1.16438839565236,96.9715585975131,96.9728896689691,FALSE,10000,5.09516906738281,"max_iter_no_target",FALSE
15,0.481838396230109,0.996096142901866,92.578664048768,92.582696885597,FALSE,10000,4.90598201751709,"max_iter_no_target",FALSE
16,0.412196969481073,0.85212763164655,88.3200035455431,88.323548421191,FALSE,10000,5.10982489585876,"max_iter_no_target",FALSE
17,0.352621009406314,0.728967284724337,84.211461383055,84.2210703320185,FALSE,10000,5.04987406730652,"max_iter_no_target",FALSE
18,0.301655726463164,0.623607640995718,80.2622253906302,80.2716710951559,FALSE,10000,4.89594602584839,"max_iter_no_target",FALSE
19,0.258056595837054,0.533475915939497,76.4798090041904,76.4861770988822,FALSE,10000,4.93635392189026,"max_iter_no_target",FALSE
20,0.220758967302882,0.456371176647336,72.8693831676861,72.8722590705886,FALSE,10000,4.91492199897766,"max_iter_no_target",FALSE
21,0.188852067456581,0.390410597088876,69.4336826078599,69.4345771742832,FALSE,10000,4.89361500740051,"max_iter_no_target",FALSE
22,0.161556759475561,0.333983481251,66.1772508819439,66.1789742351133,FALSE,10000,4.85433506965637,"max_iter_no_target",FALSE
23,0.138206517322057,0.285711931439055,63.0970389044278,63.1064701940319,FALSE,10000,4.95404601097107,"max_iter_no_target",FALSE
24,0.118231149797118,0.244417201296511,60.1890305046189,60.1975970668352,FALSE,10000,4.90030097961426,"max_iter_no_target",FALSE
25,0.101142877001776,0.209090911915109,57.4365048122976,57.4436607132109,FALSE,10000,4.8782479763031,"max_iter_no_target",FALSE
26,0.0865244192055192,0.178870428159656,54.8333129166382,54.8405253965292,FALSE,10000,4.95386600494385,"max_iter_no_target",FALSE
27,0.0740188072633227,0.153017793920229,52.3770132224241,52.3814365368098,FALSE,10000,4.97752118110657,"max_iter_no_target",FALSE
28,0.0633206657610876,0.130901711910223,50.0636405639265,50.0666688977101,FALSE,10000,4.9758951663971,"max_iter_no_target",FALSE
29,0.054168756032011,0.111982127973692,47.8917794163667,47.894338387009,FALSE,10000,4.9413731098175,"max_iter_no_target",FALSE
30,0.0463395969512803,0.0957970434650741,45.857420764191,45.8595435442036,FALSE,10000,4.8027720451355,"max_iter_no_target",FALSE
31,0.03964200773483,0.0819512336719061,43.9601958584585,43.9618920196628,FALSE,10000,4.95714688301086,"max_iter_no_target",FALSE
32,0.0339124394823833,0.0701065967948781,42.1978760854547,42.1991209637145,FALSE,10000,4.9368531703949,"max_iter_no_target",FALSE
33,0.0290109814653977,0.059973897816312,40.5672857709489,40.5678058338138,FALSE,10000,4.89226007461548,"max_iter_no_target",FALSE
34,0.0248179446371843,0.0513057056500027,39.0657867365047,39.0661797662785,FALSE,10000,4.85195302963257,"max_iter_no_target",FALSE
35,0.021230938937691,0.0438903511041895,37.6916726752238,37.692835523502,FALSE,10000,4.86764979362488,"max_iter_no_target",FALSE
36,0.0181623730234537,0.0375467581167345,36.4410378202031,36.4421815217767,FALSE,10000,4.87529802322388,"max_iter_no_target",FALSE
37,0.0155373153684439,0.0321200220460756,35.3088757480524,35.3100487399332,FALSE,10000,4.98519206047058,"max_iter_no_target",FALSE
38,0.0132916645058849,0.0274776270439327,34.2888648408278,34.2901113519892,FALSE,10000,4.90384483337402,"max_iter_no_target",FALSE
39,0.0113705837300447,0.0235062101415248,33.3736597538305,33.3749693123959,FALSE,10000,4.93047499656677,"max_iter_no_target",FALSE
40,0.00972716203487634,0.0201087930312938,32.5553180459093,32.5565290904385,FALSE,10000,4.98810696601868,"max_iter_no_target",FALSE
41,0.00832126859087539,0.0172024139468184,31.8250971571768,31.8262934216143,FALSE,10000,4.87686610221863,"max_iter_no_target",FALSE
42,0.0071185727875427,0.0147161018136279,31.1741225920028,31.1753298670371,FALSE,10000,4.91112780570984,"max_iter_no_target",FALSE
43,0.00608970591180167,0.0125891432015631,30.5939357313799,30.595096609308,FALSE,10000,4.85633301734924,"max_iter_no_target",FALSE
44,0.00520954399133618,0.0107695997592715,30.0769556080174,30.0781025299262,FALSE,10000,4.93009400367737,"max_iter_no_target",FALSE
45,0.00445659429055048,0.00921303992796748,29.6156574075324,29.6168404772438,FALSE,10000,5.10011506080627,"max_iter_no_target",FALSE
46,0.0038124704779531,0.00788145396408534,29.2041206466567,29.2053773380501,FALSE,10000,4.94724583625793,"max_iter_no_target",FALSE
47,0.00326144364904004,0.00674232577668861,28.8370229965828,28.8383384952463,FALSE,10000,4.90487694740295,"max_iter_no_target",FALSE
48,0.00279005824107379,0.00576783891476746,28.5098403234924,28.5112587617715,FALSE,10000,4.9093120098114,"max_iter_no_target",FALSE
49,0.00238680346075426,0.00493419731537282,28.2187925646064,28.220278515502,FALSE,10000,4.93650507926941,"max_iter_no_target",FALSE
50,0.00204183220135076,0.00422104422588818,27.9604259999616,27.9619947265112,FALSE,10000,4.82168006896973,"max_iter_no_target",FALSE
51,0.0017467205855129,0.00361096511106137,27.73171341829,27.7332761234147,FALSE,10000,4.96750617027283,"max_iter_no_target",FALSE
52,0.00149426226201944,0.00308906240624825,27.5298961628542,27.5314086194093,FALSE,10000,4.9191529750824,"max_iter_no_target",FALSE
53,0.00127829243338299,0.00264259173273804,27.3522600605129,27.3537202656629,FALSE,10000,4.9739408493042,"max_iter_no_target",FALSE
54,0.00109353731722829,0.0022606506918767,27.1962610321658,27.1976681398607,FALSE,10000,4.89369893074036,"max_iter_no_target",FALSE
55,0.000935485365430906,0.00193391263863052,27.0595519479728,27.0608902538913,FALSE,10000,4.81058692932129,"max_iter_no_target",FALSE
56,0.000800277096307539,0.00165439893358759,26.9400199198312,26.9412820265871,FALSE,10000,4.87629508972168,"max_iter_no_target",FALSE
57,0.000684610849662435,0.00141528411200309,26.8357285867115,26.8369192445652,FALSE,10000,4.82187819480896,"max_iter_no_target",FALSE
58,0.000585662163315752,0.00121072921229753,26.7449191551688,26.746009305952,FALSE,10000,4.77715587615967,"max_iter_no_target",FALSE
59,0.000501014802363725,0.00103573919404487,26.6660015695093,26.6669765909124,FALSE,10000,4.95749998092651,"max_iter_no_target",FALSE
60,0.000428601756969282,0.00088604096373046,26.597549730449,26.5984084221194,FALSE,10000,4.81371402740479,"max_iter_no_target",FALSE
