"outer_iter","sub_attempt","admm_tol","line_search_halvings","line_search_success","inner_iters","inner_converged","path_index","lambda_gamma","lambda_Omega","solver_tol"
1,1,1e-07,1,TRUE,111,TRUE,1,4.28601756969282,8.86040963730461,1e-05
1,1,1e-07,4,FALSE,1000,FALSE,2,3.66654767904032,7.57979029781112,1e-05
1,2,1e-08,4,FALSE,1000,FALSE,2,3.66654767904032,7.57979029781112,1e-05
1,3,1e-09,4,FALSE,1000,FALSE,2,3.66654767904032,7.57979029781112,1e-05
1,4,1e-10,4,FALSE,1000,FALSE,2,3.66654767904032,7.57979029781112,1e-05
1,1,1e-07,0,TRUE,1000,FALSE,3,3.13661147302283,6.4842623886032,1e-05
2,1,1e-07,0,TRUE,63,TRUE,3,3.13661147302283,6.4842623886032,1e-05
3,1,1e-07,3,TRUE,1000,FALSE,3,3.13661147302283,6.4842623886032,1e-05
4,1,1e-07,4,FALSE,1000,FALSE,3,3.13661147302283,6.4842623886032,1e-05
4,2,1e-08,4,FALSE,1000,FALSE,3,3.13661147302283,6.4842623886032,1e-05
4,3,1e-09,4,FALSE,1000,FALSE,3,3.13661147302283,6.4842623886032,1e-05
4,4,1e-10,4,FALSE,1000,FALSE,3,3.13661147302283,6.4842623886032,1e-05
1,1,1e-07,0,TRUE,1000,FALSE,4,2.68326840230086,5.54707413691853,1e-05
2,1,1e-07,0,TRUE,154,TRUE,4,2.68326840230086,5.54707413691853,1e-05
3,1,1e-07,0,TRUE,80,TRUE,4,2.68326840230086,5.54707413691853,1e-05
4,1,1e-07,0,TRUE,59,TRUE,4,2.68326840230086,5.54707413691853,1e-05
1,1,1e-07,4,FALSE,1000,FALSE,5,2.29544825067144,4.74534027718437,1e-05
1,2,1e-08,4,FALSE,1000,FALSE,5,2.29544825067144,4.74534027718437,1e-05
1,3,1e-09,4,FALSE,1000,FALSE,5,2.29544825067144,4.74534027718437,1e-05
1,4,1e-10,4,FALSE,1000,FALSE,5,2.29544825067144,4.74534027718437,1e-05
1,1,1e-07,0,TRUE,1000,FALSE,6,1.96368081068312,4.05948321411427,1e-05
2,1,1e-07,0,TRUE,184,TRUE,6,1.96368081068312,4.05948321411427,1e-05
3,1,1e-07,0,TRUE,203,TRUE,6,1.96368081068312,4.05948321411427,1e-05
4,1,1e-07,0,TRUE,49,TRUE,6,1.96368081068312,4.05948321411427,1e-05
5,1,1e-07,0,TRUE,45,TRUE,6,1.96368081068312,4.05948321411427,1e-05
6,1,1e-07,0,TRUE,37,TRUE,6,1.96368081068312,4.05948321411427,1e-05
1,1,1e-07,0,TRUE,80,TRUE,7,1.67986462997683,3.47275495603733,1e-05
2,1,1e-07,0,TRUE,51,TRUE,7,1.67986462997683,3.47275495603733,1e-05
3,1,1e-07,0,TRUE,46,TRUE,7,1.67986462997683,3.47275495603733,1e-05
4,1,1e-07,0,TRUE,39,TRUE,7,1.67986462997683,3.47275495603733,1e-05
1,1,1e-07,0,TRUE,216,TRUE,8,1.4370691813531,2.97082814451621,1e-05
2,1,1e-07,0,TRUE,52,TRUE,8,1.4370691813531,2.97082814451621,1e-05
3,1,1e-07,0,TRUE,46,TRUE,8,1.4370691813531,2.97082814451621,1e-05
4,1,1e-07,0,TRUE,38,TRUE,8,1.4370691813531,2.97082814451621,1e-05
1,1,1e-07,0,TRUE,324,TRUE,9,1.22936562574292,2.54144619357784,1e-05
2,1,1e-07,0,TRUE,52,TRUE,9,1.22936562574292,2.54144619357784,1e-05
3,1,1e-07,0,TRUE,47,TRUE,9,1.22936562574292,2.54144619357784,1e-05
4,1,1e-07,0,TRUE,37,TRUE,9,1.22936562574292,2.54144619357784,1e-05
1,1,1e-07,0,TRUE,332,TRUE,10,1.05168203547115,2.17412399528183,1e-05
2,1,1e-07,0,TRUE,334,TRUE,10,1.05168203547115,2.17412399528183,1e-05
3,1,1e-07,0,TRUE,50,TRUE,10,1.05168203547115,2.17412399528183,1e-05
4,1,1e-07,0,TRUE,40,TRUE,10,1.05168203547115,2.17412399528183,1e-05
1,1,1e-07,0,TRUE,1000,FALSE,11,0.899679542499283,1.85989188313518,1e-05
2,1,1e-07,0,TRUE,1000,FALSE,11,0.899679542499283,1.85989188313518,1e-05
3,1,1e-07,0,TRUE,1000,FALSE,11,0.899679542499283,1.85989188313518,1e-05
4,1,1e-07,4,FALSE,1000,FALSE,11,0.899679542499283,1.85989188313518,1e-05
4,2,1e-08,0,TRUE,1000,FALSE,11,0.899679542499283,1.85989188313518,1e-05
5,1,1e-07,0,TRUE,44,TRUE,11,0.899679542499283,1.85989188313518,1e-05
1,1,1e-07,0,TRUE,178,TRUE,12,0.769646387302891,1.5910766011778,1e-05
2,1,1e-07,0,TRUE,185,TRUE,12,0.769646387302891,1.5910766011778,1e-05
3,1,1e-07,0,TRUE,192,TRUE,12,0.769646387302891,1.5910766011778,1e-05
4,1,1e-07,0,TRUE,39,TRUE,12,0.769646387302891,1.5910766011778,1e-05
1,1,1e-07,2,TRUE,1000,FALSE,13,0.658407281155739,1.3611139302077,1e-05
2,1,1e-07,0,TRUE,1000,FALSE,13,0.658407281155739,1.3611139302077,1e-05
3,1,1e-07,0,TRUE,183,TRUE,13,0.658407281155739,1.3611139302077,1e-05
4,1,1e-07,0,TRUE,71,TRUE,13,0.658407281155739,1.3611139302077,1e-05
5,1,1e-07,0,TRUE,62,TRUE,13,0.658407281155739,1.3611139302077,1e-05
1,1,1e-07,0,TRUE,175,TRUE,14,0.563245868531947,1.16438839565236,1e-05
2,1,1e-07,0,TRUE,184,TRUE,14,0.563245868531947,1.16438839565236,1e-05
3,1,1e-07,0,TRUE,191,TRUE,14,0.563245868531947,1.16438839565236,1e-05
4,1,1e-07,0,TRUE,49,TRUE,14,0.563245868531947,1.16438839565236,1e-05
1,1,1e-07,0,TRUE,170,TRUE,15,0.481838396230109,0.996096142901866,1e-05
2,1,1e-07,0,TRUE,182,TRUE,15,0.481838396230109,0.996096142901866,1e-05
3,1,1e-07,0,TRUE,192,TRUE,15,0.481838396230109,0.996096142901866,1e-05
4,1,1e-07,0,TRUE,55,TRUE,15,0.481838396230109,0.996096142901866,1e-05
1,1,1e-07,0,TRUE,187,TRUE,16,0.412196969481073,0.85212763164655,1e-05
2,1,1e-07,0,TRUE,194,TRUE,16,0.412196969481073,0.85212763164655,1e-05
3,1,1e-07,0,TRUE,208,TRUE,16,0.412196969481073,0.85212763164655,1e-05
4,1,1e-07,0,TRUE,64,TRUE,16,0.412196969481073,0.85212763164655,1e-05
1,1,1e-07,0,TRUE,194,TRUE,17,0.352621009406314,0.728967284724337,1e-05
2,1,1e-07,0,TRUE,209,TRUE,17,0.352621009406314,0.728967284724337,1e-05
3,1,1e-07,0,TRUE,225,TRUE,17,0.352621009406314,0.728967284724337,1e-05
4,1,1e-07,0,TRUE,73,TRUE,17,0.352621009406314,0.728967284724337,1e-05
1,1,1e-07,0,TRUE,221,TRUE,18,0.301655726463164,0.623607640995718,1e-05
2,1,1e-07,0,TRUE,124,TRUE,18,0.301655726463164,0.623607640995718,1e-05
3,1,1e-07,0,TRUE,112,TRUE,18,0.301655726463164,0.623607640995718,1e-05
4,1,1e-07,0,TRUE,81,TRUE,18,0.301655726463164,0.623607640995718,1e-05
1,1,1e-07,0,TRUE,162,TRUE,19,0.258056595837054,0.533475915939497,1e-05
2,1,1e-07,0,TRUE,117,TRUE,19,0.258056595837054,0.533475915939497,1e-05
3,1,1e-07,0,TRUE,108,TRUE,19,0.258056595837054,0.533475915939497,1e-05
4,1,1e-07,0,TRUE,76,TRUE,19,0.258056595837054,0.533475915939497,1e-05
1,1,1e-07,0,TRUE,235,TRUE,20,0.220758967302882,0.456371176647336,1e-05
2,1,1e-07,0,TRUE,127,TRUE,20,0.220758967302882,0.456371176647336,1e-05
3,1,1e-07,0,TRUE,111,TRUE,20,0.220758967302882,0.456371176647336,1e-05
4,1,1e-07,0,TRUE,77,TRUE,20,0.220758967302882,0.456371176647336,1e-05
1,1,1e-07,0,TRUE,256,TRUE,21,0.188852067456581,0.390410597088876,1e-05
2,1,1e-07,0,TRUE,133,TRUE,21,0.188852067456581,0.390410597088876,1e-05
3,1,1e-07,0,TRUE,109,TRUE,21,0.188852067456581,0.390410597088876,1e-05
4,1,1e-07,0,TRUE,73,TRUE,21,0.188852067456581,0.390410597088876,1e-05
1,1,1e-07,0,TRUE,303,TRUE,22,0.161556759475561,0.333983481251,1e-05
2,1,1e-07,0,TRUE,153,TRUE,22,0.161556759475561,0.333983481251,1e-05
3,1,1e-07,0,TRUE,120,TRUE,22,0.161556759475561,0.333983481251,1e-05
4,1,1e-07,0,TRUE,67,TRUE,22,0.161556759475561,0.333983481251,1e-05
1,1,1e-07,0,TRUE,281,TRUE,23,0.138206517322057,0.285711931439055,1e-05
2,1,1e-07,0,TRUE,174,TRUE,23,0.138206517322057,0.285711931439055,1e-05
3,1,1e-07,0,TRUE,133,TRUE,23,0.138206517322057,0.285711931439055,1e-05
4,1,1e-07,0,TRUE,63,TRUE,23,0.138206517322057,0.285711931439055,1e-05
1,1,1e-07,0,TRUE,263,TRUE,24,0.118231149797118,0.244417201296511,1e-05
2,1,1e-07,0,TRUE,329,TRUE,24,0.118231149797118,0.244417201296511,1e-05
3,1,1e-07,0,TRUE,143,TRUE,24,0.118231149797118,0.244417201296511,1e-05
4,1,1e-07,0,TRUE,61,TRUE,24,0.118231149797118,0.244417201296511,1e-05
1,1,1e-07,0,TRUE,240,TRUE,25,0.101142877001776,0.209090911915109,1e-05
2,1,1e-07,0,TRUE,201,TRUE,25,0.101142877001776,0.209090911915109,1e-05
3,1,1e-07,0,TRUE,165,TRUE,25,0.101142877001776,0.209090911915109,1e-05
4,1,1e-07,0,TRUE,101,TRUE,25,0.101142877001776,0.209090911915109,1e-05
1,1,1e-07,0,TRUE,229,TRUE,26,0.0865244192055192,0.178870428159656,1e-05
2,1,1e-07,0,TRUE,186,TRUE,26,0.0865244192055192,0.178870428159656,1e-05
3,1,1e-07,0,TRUE,151,TRUE,26,0.0865244192055192,0.178870428159656,1e-05
1,1,1e-07,0,TRUE,212,TRUE,27,0.0740188072633227,0.153017793920229,1e-05
2,1,1e-07,0,TRUE,182,TRUE,27,0.0740188072633227,0.153017793920229,1e-05
3,1,1e-07,0,TRUE,143,TRUE,27,0.0740188072633227,0.153017793920229,1e-05
1,1,1e-07,0,TRUE,209,TRUE,28,0.0633206657610876,0.130901711910223,1e-05
2,1,1e-07,0,TRUE,143,TRUE,28,0.0633206657610876,0.130901711910223,1e-05
3,1,1e-07,0,TRUE,112,TRUE,28,0.0633206657610876,0.130901711910223,1e-05
1,1,1e-07,0,TRUE,326,TRUE,29,0.054168756032011,0.111982127973692,1e-05
2,1,1e-07,0,TRUE,156,TRUE,29,0.054168756032011,0.111982127973692,1e-05
3,1,1e-07,0,TRUE,103,TRUE,29,0.054168756032011,0.111982127973692,1e-05
1,1,1e-07,0,TRUE,255,TRUE,30,0.0463395969512803,0.0957970434650741,1e-05
2,1,1e-07,0,TRUE,170,TRUE,30,0.0463395969512803,0.0957970434650741,1e-05
3,1,1e-07,0,TRUE,114,TRUE,30,0.0463395969512803,0.0957970434650741,1e-05
1,1,1e-07,0,TRUE,285,TRUE,31,0.03964200773483,0.0819512336719061,1e-05
2,1,1e-07,0,TRUE,318,TRUE,31,0.03964200773483,0.0819512336719061,1e-05
3,1,1e-07,0,TRUE,119,TRUE,31,0.03964200773483,0.0819512336719061,1e-05
1,1,1e-07,0,TRUE,333,TRUE,32,0.0339124394823833,0.0701065967948781,1e-05
2,1,1e-07,0,TRUE,332,TRUE,32,0.0339124394823833,0.0701065967948781,1e-05
3,1,1e-07,0,TRUE,403,TRUE,32,0.0339124394823833,0.0701065967948781,1e-05
1,1,1e-07,0,TRUE,210,TRUE,33,0.0290109814653977,0.059973897816312,1e-05
2,1,1e-07,0,TRUE,150,TRUE,33,0.0290109814653977,0.059973897816312,1e-05
3,1,1e-07,0,TRUE,118,TRUE,33,0.0290109814653977,0.059973897816312,1e-05
1,1,1e-07,0,TRUE,168,TRUE,34,0.0248179446371843,0.0513057056500027,1e-05
2,1,1e-07,0,TRUE,143,TRUE,34,0.0248179446371843,0.0513057056500027,1e-05
3,1,1e-07,0,TRUE,109,TRUE,34,0.0248179446371843,0.0513057056500027,1e-05
1,1,1e-07,0,TRUE,181,TRUE,35,0.021230938937691,0.0438903511041895,1e-05
2,1,1e-07,0,TRUE,138,TRUE,35,0.021230938937691,0.0438903511041895,1e-05
3,1,1e-07,0,TRUE,102,TRUE,35,0.021230938937691,0.0438903511041895,1e-05
1,1,1e-07,0,TRUE,194,TRUE,36,0.0181623730234537,0.0375467581167345,1e-05
2,1,1e-07,0,TRUE,129,TRUE,36,0.0181623730234537,0.0375467581167345,1e-05
3,1,1e-07,0,TRUE,87,TRUE,36,0.0181623730234537,0.0375467581167345,1e-05
1,1,1e-07,0,TRUE,217,TRUE,37,0.0155373153684439,0.0321200220460756,1e-05
2,1,1e-07,0,TRUE,141,TRUE,37,0.0155373153684439,0.0321200220460756,1e-05
3,1,1e-07,0,TRUE,81,TRUE,37,0.0155373153684439,0.0321200220460756,1e-05
1,1,1e-07,0,TRUE,236,TRUE,38,0.0132916645058849,0.0274776270439327,1e-05
2,1,1e-07,0,TRUE,150,TRUE,38,0.0132916645058849,0.0274776270439327,1e-05
3,1,1e-07,0,TRUE,75,TRUE,38,0.0132916645058849,0.0274776270439327,1e-05
1,1,1e-07,0,TRUE,248,TRUE,39,0.0113705837300447,0.0235062101415248,1e-05
2,1,1e-07,0,TRUE,160,TRUE,39,0.0113705837300447,0.0235062101415248,1e-05
3,1,1e-07,0,TRUE,73,TRUE,39,0.0113705837300447,0.0235062101415248,1e-05
1,1,1e-07,0,TRUE,266,TRUE,40,0.00972716203487634,0.0201087930312938,1e-05
2,1,1e-07,0,TRUE,158,TRUE,40,0.00972716203487634,0.0201087930312938,1e-05
3,1,1e-07,0,TRUE,70,TRUE,40,0.00972716203487634,0.0201087930312938,1e-05
1,1,1e-07,0,TRUE,350,TRUE,41,0.00832126859087539,0.0172024139468184,1e-05
2,1,1e-07,0,TRUE,162,TRUE,41,0.00832126859087539,0.0172024139468184,1e-05
3,1,1e-07,0,TRUE,67,TRUE,41,0.00832126859087539,0.0172024139468184,1e-05
1,1,1e-07,0,TRUE,208,TRUE,42,0.0071185727875427,0.0147161018136279,1e-05
2,1,1e-07,0,TRUE,214,TRUE,42,0.0071185727875427,0.0147161018136279,1e-05
3,1,1e-07,0,TRUE,62,TRUE,42,0.0071185727875427,0.0147161018136279,1e-05
1,1,1e-07,0,TRUE,210,TRUE,43,0.00608970591180167,0.0125891432015631,1e-05
2,1,1e-07,0,TRUE,215,TRUE,43,0.00608970591180167,0.0125891432015631,1e-05
1,1,1e-07,0,TRUE,203,TRUE,44,0.00520954399133618,0.0107695997592715,1e-05
2,1,1e-07,0,TRUE,222,TRUE,44,0.00520954399133618,0.0107695997592715,1e-05
1,1,1e-07,0,TRUE,333,TRUE,45,0.00445659429055048,0.00921303992796748,1e-05
2,1,1e-07,0,TRUE,171,TRUE,45,0.00445659429055048,0.00921303992796748,1e-05
1,1,1e-07,0,TRUE,364,TRUE,46,0.0038124704779531,0.00788145396408534,1e-05
2,1,1e-07,0,TRUE,174,TRUE,46,0.0038124704779531,0.00788145396408534,1e-05
1,1,1e-07,0,TRUE,211,TRUE,47,0.00326144364904004,0.00674232577668861,1e-05
2,1,1e-07,0,TRUE,238,TRUE,47,0.00326144364904004,0.00674232577668861,1e-05
1,1,1e-07,0,TRUE,227,TRUE,48,0.00279005824107379,0.00576783891476746,1e-05
2,1,1e-07,0,TRUE,172,TRUE,48,0.00279005824107379,0.00576783891476746,1e-05
1,1,1e-07,0,TRUE,222,TRUE,49,0.00238680346075426,0.00493419731537282,1e-05
2,1,1e-07,0,TRUE,143,TRUE,49,0.00238680346075426,0.00493419731537282,1e-05
1,1,1e-07,0,TRUE,232,TRUE,50,0.00204183220135076,0.00422104422588818,1e-05
2,1,1e-07,0,TRUE,122,TRUE,50,0.00204183220135076,0.00422104422588818,1e-05
1,1,1e-07,0,TRUE,243,TRUE,51,0.0017467205855129,0.00361096511106137,1e-05
2,1,1e-07,0,TRUE,125,TRUE,51,0.0017467205855129,0.00361096511106137,1e-05
1,1,1e-07,0,TRUE,254,TRUE,52,0.00149426226201944,0.00308906240624825,1e-05
2,1,1e-07,0,TRUE,159,TRUE,52,0.00149426226201944,0.00308906240624825,1e-05
1,1,1e-07,0,TRUE,260,TRUE,53,0.00127829243338299,0.00264259173273804,1e-05
2,1,1e-07,0,TRUE,131,TRUE,53,0.00127829243338299,0.00264259173273804,1e-05
1,1,1e-07,0,TRUE,266,TRUE,54,0.00109353731722829,0.0022606506918767,1e-05
2,1,1e-07,0,TRUE,96,TRUE,54,0.00109353731722829,0.0022606506918767,1e-05
1,1,1e-07,0,TRUE,340,TRUE,55,0.000935485365430906,0.00193391263863052,1e-05
2,1,1e-07,0,TRUE,89,TRUE,55,0.000935485365430906,0.00193391263863052,1e-05
1,1,1e-07,0,TRUE,345,TRUE,56,0.000800277096307539,0.00165439893358759,1e-05
2,1,1e-07,0,TRUE,84,TRUE,56,0.000800277096307539,0.00165439893358759,1e-05
1,1,1e-07,0,TRUE,219,TRUE,57,0.000684610849662435,0.00141528411200309,1e-05
2,1,1e-07,0,TRUE,128,TRUE,57,0.000684610849662435,0.00141528411200309,1e-05
1,1,1e-07,0,TRUE,219,TRUE,58,0.000585662163315752,0.00121072921229753,1e-05
2,1,1e-07,0,TRUE,138,TRUE,58,0.000585662163315752,0.00121072921229753,1e-05
1,1,1e-07,0,TRUE,200,TRUE,59,0.000501014802363725,0.00103573919404487,1e-05
2,1,1e-07,0,TRUE,140,TRUE,59,0.000501014802363725,0.00103573919404487,1e-05
1,1,1e-07,0,TRUE,211,TRUE,60,0.000428601756969282,0.00088604096373046,1e-05
2,1,1e-07,0,TRUE,169,TRUE,60,0.000428601756969282,0.00088604096373046,1e-05
