"path_index","lambda_gamma","lambda_Omega","pn_outer_iters","pn_inner_iters_total","pn_converged","pn_stop_reason","pn_elapsed_sec","case","tol_outer","tol_inner_base","tol_inner_floor","max_iter_outer"
1,4.28601756969282,8.86040963730461,1,111,TRUE,"PN stop modes reached: local_norm",0.173034191131592,"case_norm_mode",1e-04,1e-05,1e-08,10000
2,3.66654767904032,7.57979029781112,1,4000,FALSE,"PN step failed to decrease objective",2.76802515983582,"case_norm_mode",1e-04,1e-05,1e-08,10000
3,3.13661147302283,6.4842623886032,3,5041,FALSE,"PN step failed to decrease objective",3.50926303863525,"case_norm_mode",1e-04,1e-05,1e-08,10000
4,2.68326840230086,5.54707413691853,10,207,TRUE,"PN stop modes reached: local_norm",0.718188047409058,"case_norm_mode",1e-04,1e-05,1e-08,10000
5,2.29544825067144,4.74534027718437,9,2196,TRUE,"PN stop modes reached: local_norm",3.16771793365479,"case_norm_mode",1e-04,1e-05,1e-08,10000
6,1.96368081068312,4.05948321411427,13,81,TRUE,"PN stop modes reached: local_norm",0.0830249786376953,"case_norm_mode",1e-04,1e-05,1e-08,10000
7,1.67986462997683,3.47275495603733,13,83,TRUE,"PN stop modes reached: local_norm",0.0828790664672852,"case_norm_mode",1e-04,1e-05,1e-08,10000
8,1.4370691813531,2.97082814451621,11,185,TRUE,"PN stop modes reached: local_norm",1.87554383277893,"case_norm_mode",1e-04,1e-05,1e-08,10000
9,1.22936562574292,2.54144619357784,10,181,TRUE,"PN stop modes reached: local_norm",1.94430303573608,"case_norm_mode",1e-04,1e-05,1e-08,10000
10,1.05168203547115,2.17412399528183,9,289,TRUE,"PN stop modes reached: local_norm",3.67444801330566,"case_norm_mode",1e-04,1e-05,1e-08,10000
11,0.899679542499283,1.85989188313518,7,271,TRUE,"PN stop modes reached: local_norm",4.79956912994385,"case_norm_mode",1e-04,1e-05,1e-08,10000
12,0.769646387302891,1.5910766011778,7,250,TRUE,"PN stop modes reached: local_norm",4.88160586357117,"case_norm_mode",1e-04,1e-05,1e-08,10000
13,0.658407281155739,1.3611139302077,13,1126,TRUE,"PN stop modes reached: local_norm",18.5203688144684,"case_norm_mode",1e-04,1e-05,1e-08,10000
14,0.563245868531947,1.16438839565236,21,118,TRUE,"PN stop modes reached: local_norm",0.713458061218262,"case_norm_mode",1e-04,1e-05,1e-08,10000
15,0.481838396230109,0.996096142901866,11,328,TRUE,"PN stop modes reached: local_norm",0.863646030426025,"case_norm_mode",1e-04,1e-05,1e-08,10000
16,0.412196969481073,0.85212763164655,9,347,TRUE,"PN stop modes reached: local_norm",0.84676194190979,"case_norm_mode",1e-04,1e-05,1e-08,10000
17,0.352621009406314,0.728967284724337,9,350,TRUE,"PN stop modes reached: local_norm",0.881108999252319,"case_norm_mode",1e-04,1e-05,1e-08,10000
18,0.301655726463164,0.623607640995718,13,144,TRUE,"PN stop modes reached: local_norm",0.786434888839722,"case_norm_mode",1e-04,1e-05,1e-08,10000
19,0.258056595837054,0.533475915939497,22,330,TRUE,"PN stop modes reached: local_norm",0.864836931228638,"case_norm_mode",1e-04,1e-05,1e-08,10000
20,0.220758967302882,0.456371176647336,17,254,TRUE,"PN stop modes reached: local_norm",5.02596998214722,"case_norm_mode",1e-04,1e-05,1e-08,10000
21,0.188852067456581,0.390410597088876,46,261,TRUE,"PN stop modes reached: local_norm",4.92052412033081,"case_norm_mode",1e-04,1e-05,1e-08,10000
22,0.161556759475561,0.333983481251,27,615,TRUE,"PN stop modes reached: local_norm",5.07757186889648,"case_norm_mode",1e-04,1e-05,1e-08,10000
23,0.138206517322057,0.285711931439055,25,610,TRUE,"PN stop modes reached: local_norm",5.04587197303772,"case_norm_mode",1e-04,1e-05,1e-08,10000
24,0.118231149797118,0.244417201296511,32,853,TRUE,"PN stop modes reached: local_norm",4.72993588447571,"case_norm_mode",1e-04,1e-05,1e-08,10000
25,0.101142877001776,0.209090911915109,33,374,TRUE,"PN stop modes reached: local_norm",0.3696129322052,"case_norm_mode",1e-04,1e-05,1e-08,10000
26,0.0865244192055192,0.178870428159656,119,355,TRUE,"PN stop modes reached: local_norm",1.15694499015808,"case_norm_mode",1e-04,1e-05,1e-08,10000
27,0.0740188072633227,0.153017793920229,10,478,TRUE,"PN stop modes reached: local_norm",0.917262077331543,"case_norm_mode",1e-04,1e-05,1e-08,10000
28,0.0633206657610876,0.130901711910223,33,434,TRUE,"PN stop modes reached: local_norm",1.06066799163818,"case_norm_mode",1e-04,1e-05,1e-08,10000
29,0.054168756032011,0.111982127973692,14,368,TRUE,"PN stop modes reached: local_norm",0.897755861282349,"case_norm_mode",1e-04,1e-05,1e-08,10000
30,0.0463395969512803,0.0957970434650741,16,475,TRUE,"PN stop modes reached: local_norm",5.58114099502563,"case_norm_mode",1e-04,1e-05,1e-08,10000
31,0.03964200773483,0.0819512336719061,16,528,TRUE,"PN stop modes reached: local_norm",0.421543121337891,"case_norm_mode",1e-04,1e-05,1e-08,10000
32,0.0339124394823833,0.0701065967948781,20,655,TRUE,"PN stop modes reached: local_norm",1.14143085479736,"case_norm_mode",1e-04,1e-05,1e-08,10000
33,0.0290109814653977,0.059973897816312,20,675,TRUE,"PN stop modes reached: local_norm",1.13536500930786,"case_norm_mode",1e-04,1e-05,1e-08,10000
34,0.0248179446371843,0.0513057056500027,25,823,TRUE,"PN stop modes reached: local_norm",1.35421705245972,"case_norm_mode",1e-04,1e-05,1e-08,10000
35,0.021230938937691,0.0438903511041895,18,690,TRUE,"PN stop modes reached: local_norm",1.13280296325684,"case_norm_mode",1e-04,1e-05,1e-08,10000
36,0.0181623730234537,0.0375467581167345,26,743,TRUE,"PN stop modes reached: local_norm",0.652933835983276,"case_norm_mode",1e-04,1e-05,1e-08,10000
37,0.0155373153684439,0.0321200220460756,23,627,TRUE,"PN stop modes reached: local_norm",0.53455114364624,"case_norm_mode",1e-04,1e-05,1e-08,10000
38,0.0132916645058849,0.0274776270439327,25,677,TRUE,"PN stop modes reached: local_norm",0.586838006973267,"case_norm_mode",1e-04,1e-05,1e-08,10000
39,0.0113705837300447,0.0235062101415248,22,655,TRUE,"PN stop modes reached: local_norm",0.549844026565552,"case_norm_mode",1e-04,1e-05,1e-08,10000
40,0.00972716203487634,0.0201087930312938,19,764,TRUE,"PN stop modes reached: local_norm",0.649071931838989,"case_norm_mode",1e-04,1e-05,1e-08,10000
41,0.00832126859087539,0.0172024139468184,29,904,TRUE,"PN stop modes reached: local_norm",0.835099935531616,"case_norm_mode",1e-04,1e-05,1e-08,10000
42,0.0071185727875427,0.0147161018136279,38,1330,TRUE,"PN stop modes reached: local_norm",1.65943694114685,"case_norm_mode",1e-04,1e-05,1e-08,10000
43,0.00608970591180167,0.0125891432015631,11,826,TRUE,"PN stop modes reached: local_norm",1.21933603286743,"case_norm_mode",1e-04,1e-05,1e-08,10000
44,0.00520954399133618,0.0107695997592715,34,1153,TRUE,"PN stop modes reached: local_norm",1.53107500076294,"case_norm_mode",1e-04,1e-05,1e-08,10000
45,0.00445659429055048,0.00921303992796748,15,839,TRUE,"PN stop modes reached: local_norm",0.665835857391357,"case_norm_mode",1e-04,1e-05,1e-08,10000
46,0.0038124704779531,0.00788145396408534,13,787,TRUE,"PN stop modes reached: local_norm",0.590657949447632,"case_norm_mode",1e-04,1e-05,1e-08,10000
47,0.00326144364904004,0.00674232577668861,23,725,TRUE,"PN stop modes reached: local_norm",0.628202199935913,"case_norm_mode",1e-04,1e-05,1e-08,10000
48,0.00279005824107379,0.00576783891476746,11,584,TRUE,"PN stop modes reached: local_norm",0.475558996200562,"case_norm_mode",1e-04,1e-05,1e-08,10000
49,0.00238680346075426,0.00493419731537282,21,933,TRUE,"PN stop modes reached: local_norm",0.740695953369141,"case_norm_mode",1e-04,1e-05,1e-08,10000
50,0.00204183220135076,0.00422104422588818,31,834,TRUE,"PN stop modes reached: local_norm",0.778732061386108,"case_norm_mode",1e-04,1e-05,1e-08,10000
51,0.0017467205855129,0.00361096511106137,13,638,TRUE,"PN stop modes reached: local_norm",0.517083168029785,"case_norm_mode",1e-04,1e-05,1e-08,10000
52,0.00149426226201944,0.00308906240624825,18,648,TRUE,"PN stop modes reached: local_norm",0.508233070373535,"case_norm_mode",1e-04,1e-05,1e-08,10000
53,0.00127829243338299,0.00264259173273804,22,851,TRUE,"PN stop modes reached: local_norm",0.68295407295227,"case_norm_mode",1e-04,1e-05,1e-08,10000
54,0.00109353731722829,0.0022606506918767,17,629,TRUE,"PN stop modes reached: local_norm",0.503109931945801,"case_norm_mode",1e-04,1e-05,1e-08,10000
55,0.000935485365430906,0.00193391263863052,20,667,TRUE,"PN stop modes reached: local_norm",0.580348014831543,"case_norm_mode",1e-04,1e-05,1e-08,10000
56,0.000800277096307539,0.00165439893358759,25,787,TRUE,"PN stop modes reached: local_norm",0.65247392654419,"case_norm_mode",1e-04,1e-05,1e-08,10000
57,0.000684610849662435,0.00141528411200309,16,507,TRUE,"PN stop modes reached: local_norm",0.40369176864624,"case_norm_mode",1e-04,1e-05,1e-08,10000
58,0.000585662163315752,0.00121072921229753,23,767,TRUE,"PN stop modes reached: local_norm",0.653578042984009,"case_norm_mode",1e-04,1e-05,1e-08,10000
59,0.000501014802363725,0.00103573919404487,19,833,TRUE,"PN stop modes reached: local_norm",0.669924974441528,"case_norm_mode",1e-04,1e-05,1e-08,10000
60,0.000428601756969282,0.00088604096373046,25,912,TRUE,"PN stop modes reached: local_norm",0.750748872756958,"case_norm_mode",1e-04,1e-05,1e-08,10000
