"omega_stop_mode","sub_stop_mode","omega_stop_metric","inner_iter","path_index","lambda_gamma","lambda_Omega","solver_tol","case"
"duality_gap","residual_plus_proxy",0,61.508064516129,1,4.28601756969282,8.86040963730461,1e-07,"case_relative_change"
"duality_gap","residual_plus_proxy",0,500.5,2,3.66654767904032,7.57979029781112,1e-07,"case_relative_change"
"duality_gap","residual_plus_proxy",0,492.852507374634,3,3.13661147302283,6.4842623886032,1e-07,"case_relative_change"
"duality_gap","residual_plus_proxy",0.00467293377747838,469.495381773397,4,2.68326840230086,5.54707413691853,1e-07,"case_relative_change"
"duality_gap","residual_plus_proxy",0.00203108088584056,377.899230230928,5,2.29544825067144,4.74534027718437,1e-07,"case_relative_change"
"duality_gap","residual_plus_proxy",0,38.9579831932773,6,1.96368081068312,4.05948321411427,1e-07,"case_relative_change"
"duality_gap","residual_plus_proxy",0,42.2823218997361,7,1.67986462997683,3.47275495603733,1e-07,"case_relative_change"
"duality_gap","residual_plus_proxy",0.00330071758194672,403.507521773553,8,1.4370691813531,2.97082814451621,1e-07,"case_relative_change"
"duality_gap","residual_plus_proxy",0.00437379865541435,500.5,9,1.22936562574292,2.54144619357784,1e-07,"case_relative_change"
"duality_gap","residual_plus_proxy",0.00419000620394187,500.5,10,1.05168203547115,2.17412399528183,1e-07,"case_relative_change"
"duality_gap","residual_plus_proxy",0.00452025590919163,500.5,11,0.899679542499283,1.85989188313518,1e-07,"case_relative_change"
"duality_gap","residual_plus_proxy",0.00436254454876994,500.5,12,0.769646387302891,1.5910766011778,1e-07,"case_relative_change"
"duality_gap","residual_plus_proxy",0.0120945023638882,410.410840534173,13,0.658407281155739,1.3611139302077,1e-07,"case_relative_change"
"duality_gap","residual_plus_proxy",0.00520642179575665,102.634958382877,14,0.563245868531947,1.16438839565236,1e-07,"case_relative_change"
"duality_gap","residual_plus_proxy",0.00543098743261894,100.988916256158,15,0.481838396230109,0.996096142901866,1e-07,"case_relative_change"
"duality_gap","residual_plus_proxy",0.00507336310525278,108.012629161883,16,0.412196969481073,0.85212763164655,1e-07,"case_relative_change"
"duality_gap","residual_plus_proxy",0.00484027399811373,111.891447368421,17,0.352621009406314,0.728967284724337,1e-07,"case_relative_change"
"duality_gap","residual_plus_proxy",0,108.105376344086,18,0.301655726463164,0.623607640995718,1e-07,"case_relative_change"
"duality_gap","residual_plus_proxy",0.000624580786542957,96.3548766157462,19,0.258056595837054,0.533475915939497,1e-07,"case_relative_change"
"duality_gap","residual_plus_proxy",0.00500593502485341,115.856301531213,20,0.220758967302882,0.456371176647336,1e-07,"case_relative_change"
"duality_gap","residual_plus_proxy",0.00502647090223165,122.57422324511,21,0.188852067456581,0.390410597088876,1e-07,"case_relative_change"
"duality_gap","residual_plus_proxy",0.00493450922205534,136.221365638767,22,0.161556759475561,0.333983481251,1e-07,"case_relative_change"
"duality_gap","residual_plus_proxy",0.00502566725030123,128.391639163916,23,0.138206517322057,0.285711931439055,1e-07,"case_relative_change"
"duality_gap","residual_plus_proxy",0.00369311141094569,160.866363636364,24,0.118231149797118,0.244417201296511,1e-07,"case_relative_change"
"duality_gap","residual_plus_proxy",0.00230621875431643,211.80393442623,25,0.101142877001776,0.209090911915109,1e-07,"case_relative_change"
"duality_gap","residual_plus_proxy",0.000608558988343557,139.2202268431,26,0.0865244192055192,0.178870428159656,1e-07,"case_relative_change"
"duality_gap","residual_plus_proxy",0.000669718871560716,129.105424769703,27,0.0740188072633227,0.153017793920229,1e-07,"case_relative_change"
"duality_gap","residual_plus_proxy",0.000836285799207723,106.466921119593,28,0.0633206657610876,0.130901711910223,1e-07,"case_relative_change"
"duality_gap","residual_plus_proxy",0.007576442270377,138.55756207675,29,0.054168756032011,0.111982127973692,1e-07,"case_relative_change"
"duality_gap","residual_plus_proxy",0.00996781240363484,178.214616096207,30,0.0463395969512803,0.0957970434650741,1e-07,"case_relative_change"
"duality_gap","residual_plus_proxy",0.0110820086156776,351.352683461116,31,0.03964200773483,0.0819512336719061,1e-07,"case_relative_change"
"duality_gap","residual_plus_proxy",0.00943998630885563,414.727627840907,32,0.0339124394823833,0.0701065967948781,1e-07,"case_relative_change"
"duality_gap","residual_plus_proxy",0.00838686238557235,361.798412698413,33,0.0290109814653977,0.059973897816312,1e-07,"case_relative_change"
"duality_gap","residual_plus_proxy",0,103.228047182176,34,0.0248179446371843,0.0513057056500027,1e-07,"case_relative_change"
"duality_gap","residual_plus_proxy",0.00435078576159773,354.391184573002,35,0.021230938937691,0.0438903511041895,1e-07,"case_relative_change"
"duality_gap","residual_plus_proxy",0,104.21438450899,36,0.0181623730234537,0.0375467581167345,1e-07,"case_relative_change"
"duality_gap","residual_plus_proxy",0,119.145265888457,37,0.0155373153684439,0.0321200220460756,1e-07,"case_relative_change"
"duality_gap","residual_plus_proxy",0,127.439698492462,38,0.0132916645058849,0.0274776270439327,1e-07,"case_relative_change"
"duality_gap","residual_plus_proxy",0.000438856434345761,219.62329390355,39,0.0113705837300447,0.0235062101415248,1e-07,"case_relative_change"
"duality_gap","residual_plus_proxy",0,137.577348066298,40,0.00972716203487634,0.0201087930312938,1e-07,"case_relative_change"
"duality_gap","residual_plus_proxy",0.00151015671375737,158.711111111111,41,0.00832126859087539,0.0172024139468184,1e-07,"case_relative_change"
"duality_gap","residual_plus_proxy",0.000745381779967575,162.646477132262,42,0.0071185727875427,0.0147161018136279,1e-07,"case_relative_change"
"duality_gap","residual_plus_proxy",0.00068094129880262,164.451414514145,43,0.00608970591180167,0.0125891432015631,1e-07,"case_relative_change"
"duality_gap","residual_plus_proxy",0.000583485075216526,172.395161290323,44,0.00520954399133618,0.0107695997592715,1e-07,"case_relative_change"
"duality_gap","residual_plus_proxy",0,276.682256867112,45,0.00445659429055048,0.00921303992796748,1e-07,"case_relative_change"
"duality_gap","residual_plus_proxy",0,200.985236220472,46,0.0038124704779531,0.00788145396408534,1e-07,"case_relative_change"
"duality_gap","residual_plus_proxy",0,213.512896825397,47,0.00326144364904004,0.00674232577668861,1e-07,"case_relative_change"
"duality_gap","residual_plus_proxy",0,221.349362119725,48,0.00279005824107379,0.00576783891476746,1e-07,"case_relative_change"
"duality_gap","residual_plus_proxy",0,193.265392781317,49,0.00238680346075426,0.00493419731537282,1e-07,"case_relative_change"
"duality_gap","residual_plus_proxy",0,130.64,50,0.00204183220135076,0.00422104422588818,1e-07,"case_relative_change"
"duality_gap","residual_plus_proxy",0,140.809722222222,51,0.0017467205855129,0.00361096511106137,1e-07,"case_relative_change"
"duality_gap","residual_plus_proxy",0,202.118349619979,52,0.00149426226201944,0.00308906240624825,1e-07,"case_relative_change"
"duality_gap","residual_plus_proxy",0,192.923076923077,53,0.00127829243338299,0.00264259173273804,1e-07,"case_relative_change"
"duality_gap","residual_plus_proxy",0,148.413589364845,54,0.00109353731722829,0.0022606506918767,1e-07,"case_relative_change"
"duality_gap","residual_plus_proxy",0,157.592485549133,55,0.000935485365430906,0.00193391263863052,1e-07,"case_relative_change"
"duality_gap","residual_plus_proxy",0,165.646830530401,56,0.000800277096307539,0.00165439893358759,1e-07,"case_relative_change"
"duality_gap","residual_plus_proxy",0,183.142228739003,57,0.000684610849662435,0.00141528411200309,1e-07,"case_relative_change"
"duality_gap","residual_plus_proxy",0,186.121301775148,58,0.000585662163315752,0.00121072921229753,1e-07,"case_relative_change"
"duality_gap","residual_plus_proxy",0,181.666139240507,59,0.000501014802363725,0.00103573919404487,1e-07,"case_relative_change"
"duality_gap","residual_plus_proxy",0,208.250300842358,60,0.000428601756969282,0.00088604096373046,1e-07,"case_relative_change"
