"omega_stop_mode","sub_stop_mode","omega_stop_metric","inner_iter","path_index","lambda_gamma","lambda_Omega","solver_tol"
"duality_gap","residual_plus_proxy",0,56,1,4.28601756969282,8.86040963730461,1e-05
"duality_gap","residual_plus_proxy",0,500.5,2,3.66654767904032,7.57979029781112,1e-05
"duality_gap","residual_plus_proxy",0,495.631865413163,3,3.13661147302283,6.4842623886032,1e-05
"duality_gap","residual_plus_proxy",0.0079506405013291,400.189481825211,4,2.68326840230086,5.54707413691853,1e-05
"duality_gap","residual_plus_proxy",0,500.5,5,2.29544825067144,4.74534027718437,1e-05
"duality_gap","residual_plus_proxy",0.0195575499571186,356.514492753624,6,1.96368081068312,4.05948321411427,1e-05
"duality_gap","residual_plus_proxy",0,29.7546296296296,7,1.67986462997683,3.47275495603733,1e-05
"duality_gap","residual_plus_proxy",0.00375432153615438,75.6704545454545,8,1.4370691813531,2.97082814451621,1e-05
"duality_gap","residual_plus_proxy",0.00396782927031811,121.432608695652,9,1.22936562574292,2.54144619357784,1e-05
"duality_gap","residual_plus_proxy",0.00489853926873845,149.891534391535,10,1.05168203547115,2.17412399528183,1e-05
"duality_gap","residual_plus_proxy",0.00452788624156401,496.330293417922,11,0.899679542499283,1.85989188313518,1e-05
"duality_gap","residual_plus_proxy",0.00963410395071912,88.2895622895624,12,0.769646387302891,1.5910766011778,1e-05
"duality_gap","residual_plus_proxy",0.0132956006477457,441.427029360966,13,0.658407281155739,1.3611139302077,1e-05
"duality_gap","residual_plus_proxy",0.00730988955817455,86.7796327212021,14,0.563245868531947,1.16438839565236,1e-05
"duality_gap","residual_plus_proxy",0.00736221373259843,85.5692821368949,15,0.481838396230109,0.996096142901866,1e-05
"duality_gap","residual_plus_proxy",0.0067670779881126,92.3568147013782,16,0.412196969481073,0.85212763164655,1e-05
"duality_gap","residual_plus_proxy",0.00629719213507165,98.410841654779,17,0.352621009406314,0.728967284724337,1e-05
"duality_gap","residual_plus_proxy",0,77.9368029739776,18,0.301655726463164,0.623607640995718,1e-05
"duality_gap","residual_plus_proxy",0.00114799214354854,62.4578833693305,19,0.258056595837054,0.533475915939497,1e-05
"duality_gap","residual_plus_proxy",0.00772735638792918,81.9581818181819,20,0.220758967302882,0.456371176647336,1e-05
"duality_gap","residual_plus_proxy",0.00764974885005757,88.4465849387041,21,0.188852067456581,0.390410597088876,1e-05
"duality_gap","residual_plus_proxy",0.00696817573208998,104.782270606532,22,0.161556759475561,0.333983481251,1e-05
"duality_gap","residual_plus_proxy",0.0070174085809636,101.033794162826,23,0.138206517322057,0.285711931439055,1e-05
"duality_gap","residual_plus_proxy",0.0051035477682239,127.120603015076,24,0.118231149797118,0.244417201296511,1e-05
"duality_gap","residual_plus_proxy",0,96.2758132956154,25,0.101142877001776,0.209090911915109,1e-05
"duality_gap","residual_plus_proxy",0.00113755553403203,97.530035335689,26,0.0865244192055192,0.178870428159656,1e-05
"duality_gap","residual_plus_proxy",0.00121838873820296,92.2290502793297,27,0.0740188072633227,0.153017793920229,1e-05
"duality_gap","residual_plus_proxy",0.00141653585807083,83.1228448275862,28,0.0633206657610876,0.130901711910223,1e-05
"duality_gap","residual_plus_proxy",0.0114746269824209,121.201709401709,29,0.054168756032011,0.111982127973692,1e-05
"duality_gap","residual_plus_proxy",0.0111697630918791,99.6846011131725,30,0.0463395969512803,0.0957970434650741,1e-05
"duality_gap","residual_plus_proxy",0.0112075739654392,136.587257617728,31,0.03964200773483,0.0819512336719061,1e-05
"duality_gap","residual_plus_proxy",0.00933128011710317,180.051498127341,32,0.0339124394823833,0.0701065967948781,1e-05
"duality_gap","residual_plus_proxy",0,84.7301255230125,33,0.0290109814653977,0.059973897816312,1e-05
"duality_gap","residual_plus_proxy",0.00170832358735756,72.5880952380952,34,0.0248179446371843,0.0513057056500027,1e-05
"duality_gap","residual_plus_proxy",0.00166921950674408,74.3824228028504,35,0.021230938937691,0.0438903511041895,1e-05
"duality_gap","residual_plus_proxy",0,75.9219512195122,36,0.0181623730234537,0.0375467581167345,1e-05
"duality_gap","residual_plus_proxy",0,84.2482915717539,37,0.0155373153684439,0.0321200220460756,1e-05
"duality_gap","residual_plus_proxy",0,91.412147505423,38,0.0132916645058849,0.0274776270439327,1e-05
"duality_gap","residual_plus_proxy",0,96.5841995841996,39,0.0113705837300447,0.0235062101415248,1e-05
"duality_gap","residual_plus_proxy",0,102.342105263158,40,0.00972716203487634,0.0201087930312938,1e-05
"duality_gap","residual_plus_proxy",0.00211265393221543,132.825561312608,41,0.00832126859087539,0.0172024139468184,1e-05
"duality_gap","residual_plus_proxy",0.00124640875822461,96.4752066115702,42,0.0071185727875427,0.0147161018136279,1e-05
"duality_gap","residual_plus_proxy",0.00130314143565776,106.764705882353,43,0.00608970591180167,0.0125891432015631,1e-05
"duality_gap","residual_plus_proxy",0.00119212000231301,106.962352941176,44,0.00520954399133618,0.0107695997592715,1e-05
"duality_gap","residual_plus_proxy",0,139.517857142857,45,0.00445659429055048,0.00921303992796748,1e-05
"duality_gap","residual_plus_proxy",0,151.775092936803,46,0.0038124704779531,0.00788145396408534,1e-05
"duality_gap","residual_plus_proxy",0,113.155902004454,47,0.00326144364904004,0.00674232577668861,1e-05
"duality_gap","residual_plus_proxy",0,102.145363408521,48,0.00279005824107379,0.00576783891476746,1e-05
"duality_gap","residual_plus_proxy",0,96.0246575342466,49,0.00238680346075426,0.00493419731537282,1e-05
"duality_gap","residual_plus_proxy",0,97.545197740113,50,0.00204183220135076,0.00422104422588818,1e-05
"duality_gap","residual_plus_proxy",0,101.959239130435,51,0.0017467205855129,0.00361096511106137,1e-05
"duality_gap","residual_plus_proxy",0,109.213075060533,52,0.00149426226201944,0.00308906240624825,1e-05
"duality_gap","residual_plus_proxy",0,108.890025575447,53,0.00127829243338299,0.00264259173273804,1e-05
"duality_gap","residual_plus_proxy",0,110.958563535912,54,0.00109353731722829,0.0022606506918767,1e-05
"duality_gap","residual_plus_proxy",0,144.46386946387,55,0.000935485365430906,0.00193391263863052,1e-05
"duality_gap","residual_plus_proxy",0,147.447552447552,56,0.000800277096307539,0.00165439893358759,1e-05
"duality_gap","residual_plus_proxy",0,93.2161383285303,57,0.000684610849662435,0.00141528411200309,1e-05
"duality_gap","residual_plus_proxy",0,94.3445378151261,58,0.000585662163315752,0.00121072921229753,1e-05
"duality_gap","residual_plus_proxy",0,88.1470588235294,59,0.000501014802363725,0.00103573919404487,1e-05
"duality_gap","residual_plus_proxy",0,96.6605263157894,60,0.000428601756969282,0.00088604096373046,1e-05
