"path_index","lambda_gamma","lambda_Omega","pn_final_loss","pn_converged","pn_elapsed_sec","pn_cum_elapsed_sec","pg_final_loss","pg_converged","pg_elapsed_sec","pg_cum_elapsed_sec","case","tol_outer","tol_inner_base","tol_inner_floor","max_iter_outer"
1,4.28601756969282,8.86040963730461,138.086023084597,TRUE,0.0827329158782959,0.0827329158782959,138.086023084596,TRUE,0.0487039089202881,0.0487039089202881,"case_norm_mode",1e-05,1e-06,1e-08,10000
10,1.05168203547115,2.17412399528183,115.188498706298,TRUE,3.8285801410675,32.0606961250305,115.250316200254,FALSE,4.80089211463928,9.95636653900146,"case_norm_mode",1e-05,1e-06,1e-08,10000
11,0.899679542499283,1.85989188313518,110.627877174213,TRUE,4.89322900772095,36.9539251327515,110.644517805931,FALSE,4.77432894706726,14.7306954860687,"case_norm_mode",1e-05,1e-06,1e-08,10000
12,0.769646387302891,1.5910766011778,106.034855316976,TRUE,7.26436996459961,44.2182950973511,106.048518268135,FALSE,4.90135383605957,19.6320493221283,"case_norm_mode",1e-05,1e-06,1e-08,10000
13,0.658407281155739,1.3611139302077,101.468409629137,TRUE,39.0442209243774,83.2625160217285,101.471631907509,FALSE,4.79363298416138,24.4256823062897,"case_norm_mode",1e-05,1e-06,1e-08,10000
14,0.563245868531947,1.16438839565236,96.9715579042804,TRUE,5.470782995224,88.7332990169525,96.9839399814419,FALSE,4.79835605621338,29.224038362503,"case_norm_mode",1e-05,1e-06,1e-08,10000
15,0.481838396230109,0.996096142901866,92.578664052715,TRUE,5.49199891090393,94.2252979278564,92.5863182418582,FALSE,4.77705407142639,34.0010924339294,"case_norm_mode",1e-05,1e-06,1e-08,10000
16,0.412196969481073,0.85212763164655,88.3200035489769,TRUE,5.50380086898804,99.7290987968445,88.3295520008143,FALSE,4.78906798362732,38.7901604175568,"case_norm_mode",1e-05,1e-06,1e-08,10000
17,0.352621009406314,0.728967284724337,84.2114613863133,TRUE,5.62472891807556,105.35382771492,84.2173815230334,FALSE,4.8249089717865,43.6150693893433,"case_norm_mode",1e-05,1e-06,1e-08,10000
18,0.301655726463164,0.623607640995718,80.2622249257912,TRUE,0.398364782333374,105.752192497253,80.2714683660564,FALSE,4.79348611831665,48.4085555076599,"case_norm_mode",1e-05,1e-06,1e-08,10000
19,0.258056595837054,0.533475915939497,76.4798090041923,TRUE,0.894676923751831,106.646869421005,76.4806873905386,FALSE,4.81409311294556,53.2226486206055,"case_norm_mode",1e-05,1e-06,1e-08,10000
2,3.66654767904032,7.57979029781112,138.086023084597,FALSE,2.06824517250061,2.15097808837891,138.031323371779,TRUE,0.050886869430542,0.0995907783508301,"case_norm_mode",1e-05,1e-06,1e-08,10000
20,0.220758967302882,0.456371176647336,72.8693831009694,TRUE,4.88035202026367,111.527221441269,72.8729209330557,FALSE,4.82201600074768,58.0446646213531,"case_norm_mode",1e-05,1e-06,1e-08,10000
21,0.188852067456581,0.390410597088876,69.4336824978052,TRUE,5.0565869808197,116.583808422089,69.4480751148132,FALSE,4.84982204437256,62.8944866657257,"case_norm_mode",1e-05,1e-06,1e-08,10000
22,0.161556759475561,0.333983481251,66.177250880481,TRUE,5.03600811958313,121.619816541672,66.177267168603,TRUE,1.40491795539856,64.2994046211243,"case_norm_mode",1e-05,1e-06,1e-08,10000
23,0.138206517322057,0.285711931439055,63.0970389034037,TRUE,5.04054284095764,126.660359382629,63.106627430852,FALSE,4.81007099151611,69.1094756126404,"case_norm_mode",1e-05,1e-06,1e-08,10000
24,0.118231149797118,0.244417201296511,60.1890305046199,TRUE,4.80198884010315,131.462348222733,60.1984088268231,FALSE,4.79003596305847,73.8995115756989,"case_norm_mode",1e-05,1e-06,1e-08,10000
25,0.101142877001776,0.209090911915109,57.4365047535435,TRUE,0.600492000579834,132.062840223312,57.4406845275679,FALSE,4.87663698196411,78.776148557663,"case_norm_mode",1e-05,1e-06,1e-08,10000
26,0.0865244192055192,0.178870428159656,54.8333128682403,TRUE,1.03282499313354,133.095665216446,54.8405422708313,FALSE,4.83075094223022,83.6068994998932,"case_norm_mode",1e-05,1e-06,1e-08,10000
27,0.0740188072633227,0.153017793920229,52.3770132224263,TRUE,1.00943398475647,134.105099201202,52.3817924427873,FALSE,4.74840211868286,88.355301618576,"case_norm_mode",1e-05,1e-06,1e-08,10000
28,0.0633206657610876,0.130901711910223,50.0636405639316,TRUE,0.994699954986572,135.099799156189,50.066708763643,FALSE,4.83691477775574,93.1922163963318,"case_norm_mode",1e-05,1e-06,1e-08,10000
29,0.054168756032011,0.111982127973692,47.8917794131093,TRUE,6.23473310470581,141.334532260895,47.894433598037,FALSE,4.7601900100708,97.9524064064026,"case_norm_mode",1e-05,1e-06,1e-08,10000
3,3.13661147302283,6.4842623886032,137.555016786726,FALSE,3.33517813682556,5.48615622520447,137.537996433983,TRUE,0.0491790771484375,0.148769855499268,"case_norm_mode",1e-05,1e-06,1e-08,10000
30,0.0463395969512803,0.0957970434650741,45.857420762773,TRUE,5.55349493026733,146.888027191162,45.8596287968047,FALSE,4.81843185424805,102.770838260651,"case_norm_mode",1e-05,1e-06,1e-08,10000
31,0.03964200773483,0.0819512336719061,43.960195856015,FALSE,7.5008111000061,154.388838291168,43.9619370098457,FALSE,4.8087170124054,107.579555273056,"case_norm_mode",1e-05,1e-06,1e-08,10000
32,0.0339124394823833,0.0701065967948781,42.1978760850735,TRUE,0.659440994262695,155.048279285431,42.1987273015353,FALSE,4.83300805091858,112.412563323975,"case_norm_mode",1e-05,1e-06,1e-08,10000
33,0.0290109814653977,0.059973897816312,40.5672857709017,TRUE,1.23022413253784,156.278503417969,40.5678930276467,FALSE,4.81084895133972,117.223412275314,"case_norm_mode",1e-05,1e-06,1e-08,10000
34,0.0248179446371843,0.0513057056500027,39.0657867364801,FALSE,1.70077013969421,157.979273557663,39.066190436361,FALSE,4.82318902015686,122.046601295471,"case_norm_mode",1e-05,1e-06,1e-08,10000
35,0.021230938937691,0.0438903511041895,37.6916726752087,TRUE,1.11151790618896,159.090791463852,37.6927973570805,FALSE,4.78586888313293,126.832470178604,"case_norm_mode",1e-05,1e-06,1e-08,10000
36,0.0181623730234537,0.0375467581167345,36.4410378201577,TRUE,0.940636157989502,160.031427621841,36.441999022424,FALSE,4.97029685974121,131.802767038345,"case_norm_mode",1e-05,1e-06,1e-08,10000
37,0.0155373153684439,0.0321200220460756,35.3088757480156,TRUE,0.702802181243896,160.734229803085,35.3100522727055,FALSE,4.84228992462158,136.645056962967,"case_norm_mode",1e-05,1e-06,1e-08,10000
38,0.0132916645058849,0.0274776270439327,34.2888648408226,TRUE,0.583065986633301,161.317295789719,34.2901783422458,FALSE,4.87578701972961,141.520843982697,"case_norm_mode",1e-05,1e-06,1e-08,10000
39,0.0113705837300447,0.0235062101415248,33.3736597533458,TRUE,0.81459903717041,162.131894826889,33.3749926513778,FALSE,4.91857504844666,146.439419031143,"case_norm_mode",1e-05,1e-06,1e-08,10000
4,2.68326840230086,5.54707413691853,136.310727002406,TRUE,15.2284328937531,20.7145891189575,136.310726991597,TRUE,0.0521450042724609,0.200914859771729,"case_norm_mode",1e-05,1e-06,1e-08,10000
40,0.00972716203487634,0.0201087930312938,32.5553180458732,TRUE,0.887265205383301,163.019160032272,32.5564790342282,FALSE,4.90742301940918,151.346842050552,"case_norm_mode",1e-05,1e-06,1e-08,10000
41,0.00832126859087539,0.0172024139468184,31.825097157161,FALSE,2.46701502799988,165.486175060272,31.826267885198,FALSE,4.8604519367218,156.207293987274,"case_norm_mode",1e-05,1e-06,1e-08,10000
42,0.0071185727875427,0.0147161018136279,31.1741225919914,FALSE,1.42852807044983,166.914703130722,31.1753884399849,FALSE,4.82972288131714,161.037016868591,"case_norm_mode",1e-05,1e-06,1e-08,10000
43,0.00608970591180167,0.0125891432015631,30.5939357297019,FALSE,1.68264222145081,168.597345352173,30.5951709741849,FALSE,4.88832712173462,165.925343990326,"case_norm_mode",1e-05,1e-06,1e-08,10000
44,0.00520954399133618,0.0107695997592715,30.0769556079816,TRUE,1.02942705154419,169.626772403717,30.0781406967728,FALSE,4.88528609275818,170.810630083084,"case_norm_mode",1e-05,1e-06,1e-08,10000
45,0.00445659429055048,0.00921303992796748,29.6156574075205,TRUE,0.860785007476807,170.487557411194,29.6168091274604,FALSE,4.99929594993591,175.80992603302,"case_norm_mode",1e-05,1e-06,1e-08,10000
46,0.0038124704779531,0.00788145396408534,29.2041206463038,FALSE,0.901470899581909,171.389028310776,29.2053044988941,FALSE,5.0302631855011,180.840189218521,"case_norm_mode",1e-05,1e-06,1e-08,10000
47,0.00326144364904004,0.00674232577668861,28.8370229963649,FALSE,0.695803880691528,172.084832191467,28.8383151384501,FALSE,5.07699799537659,185.917187213898,"case_norm_mode",1e-05,1e-06,1e-08,10000
48,0.00279005824107379,0.00576783891476746,28.5098403234838,TRUE,0.536633014678955,172.621465206146,28.5112431462778,FALSE,4.89771699905396,190.814904212952,"case_norm_mode",1e-05,1e-06,1e-08,10000
49,0.00238680346075426,0.00493419731537282,28.2187925645742,FALSE,0.999047040939331,173.620512247086,28.2202725322554,FALSE,4.86858701705933,195.683491230011,"case_norm_mode",1e-05,1e-06,1e-08,10000
5,2.29544825067144,4.74534027718437,134.237597236691,TRUE,3.27300095558167,23.9875900745392,134.237599143749,TRUE,0.061121940612793,0.262036800384521,"case_norm_mode",1e-05,1e-06,1e-08,10000
50,0.00204183220135076,0.00422104422588818,27.9604259999315,TRUE,0.528661012649536,174.149173259735,27.9619928455311,FALSE,5.30045199394226,200.983943223953,"case_norm_mode",1e-05,1e-06,1e-08,10000
51,0.0017467205855129,0.00361096511106137,27.7317134182707,TRUE,0.612365961074829,174.76153922081,27.733276002745,FALSE,4.90660309791565,205.890546321869,"case_norm_mode",1e-05,1e-06,1e-08,10000
52,0.00149426226201944,0.00308906240624825,27.5298961623538,TRUE,0.582866907119751,175.34440612793,27.5314085287313,FALSE,5.04809594154358,210.938642263412,"case_norm_mode",1e-05,1e-06,1e-08,10000
53,0.00127829243338299,0.00264259173273804,27.352260060511,FALSE,0.669903993606567,176.014310121536,27.3537204401152,FALSE,5.13522386550903,216.073866128922,"case_norm_mode",1e-05,1e-06,1e-08,10000
54,0.00109353731722829,0.0022606506918767,27.1962610320453,FALSE,0.735162973403931,176.74947309494,27.1976688072174,FALSE,5.03557109832764,221.109437227249,"case_norm_mode",1e-05,1e-06,1e-08,10000
55,0.000935485365430906,0.00193391263863052,27.0595519478448,FALSE,0.810748100280762,177.560221195221,27.0608907317936,FALSE,4.96923589706421,226.078673124313,"case_norm_mode",1e-05,1e-06,1e-08,10000
56,0.000800277096307539,0.00165439893358759,26.9400199197908,FALSE,0.697978019714355,178.258199214935,26.9412844307935,FALSE,4.99139189720154,231.070065021515,"case_norm_mode",1e-05,1e-06,1e-08,10000
57,0.000684610849662435,0.00141528411200309,26.8357285842685,TRUE,0.732891082763672,178.991090297699,26.8369226696948,FALSE,4.92988514900208,235.999950170517,"case_norm_mode",1e-05,1e-06,1e-08,10000
58,0.000585662163315752,0.00121072921229753,26.7449191551194,TRUE,0.57810115814209,179.569191455841,26.7460152190148,FALSE,4.84957408905029,240.849524259567,"case_norm_mode",1e-05,1e-06,1e-08,10000
59,0.000501014802363725,0.00103573919404487,26.6660015695004,TRUE,0.591431140899658,180.160622596741,26.6669806605823,FALSE,4.85662007331848,245.706144332886,"case_norm_mode",1e-05,1e-06,1e-08,10000
6,1.96368081068312,4.05948321411427,131.372352578974,TRUE,0.148797035217285,24.1363871097565,131.372352578972,TRUE,0.0507829189300537,0.312819719314575,"case_norm_mode",1e-05,1e-06,1e-08,10000
60,0.000428601756969282,0.00088604096373046,26.5975497304137,FALSE,1.17566800117493,181.336290597916,26.5984100329001,FALSE,4.76477885246277,250.470923185349,"case_norm_mode",1e-05,1e-06,1e-08,10000
7,1.67986462997683,3.47275495603733,127.863931534352,TRUE,0.150717973709106,24.2871050834656,127.86393153435,TRUE,0.0503978729248047,0.36321759223938,"case_norm_mode",1e-05,1e-06,1e-08,10000
8,1.4370691813531,2.97082814451621,123.902914247829,TRUE,1.96315288543701,26.2502579689026,123.902914247827,TRUE,0.0497238636016846,0.412941455841064,"case_norm_mode",1e-05,1e-06,1e-08,10000
9,1.22936562574292,2.54144619357784,119.641517968995,TRUE,1.98185801506042,28.232115983963,119.642000322971,FALSE,4.74253296852112,5.15547442436218,"case_norm_mode",1e-05,1e-06,1e-08,10000
