"path_index","lambda_gamma","lambda_Omega","pn_final_loss","pn_outer_iters","pn_elapsed_sec","pn_converged","pn_stop_reason"
1,4.28601756969282,8.86040963730461,138.086023084597,1,0.137588977813721,TRUE,"PN stop modes reached: local_norm"
2,3.66654767904032,7.57979029781112,138.086023084597,1,1.7062931060791,FALSE,"PN step failed to decrease objective"
3,3.13661147302283,6.4842623886032,137.641763348267,3,2.12741494178772,FALSE,"PN step failed to decrease objective"
4,2.68326840230086,5.54707413691853,136.310727501692,10,0.715857028961182,TRUE,"PN stop modes reached: local_norm"
5,2.29544825067144,4.74534027718437,134.237597357416,9,2.6724750995636,TRUE,"PN stop modes reached: local_norm"
6,1.96368081068312,4.05948321411427,131.372352704413,13,0.0530509948730469,TRUE,"PN stop modes reached: local_norm"
7,1.67986462997683,3.47275495603733,127.863931655606,13,0.0525851249694824,TRUE,"PN stop modes reached: local_norm"
8,1.4370691813531,2.97082814451621,123.902914410745,11,1.9072539806366,TRUE,"PN stop modes reached: local_norm"
9,1.22936562574292,2.54144619357784,119.641518110535,10,1.96385884284973,TRUE,"PN stop modes reached: local_norm"
10,1.05168203547115,2.17412399528183,115.188498848201,9,3.65795207023621,TRUE,"PN stop modes reached: local_norm"
11,0.899679542499283,1.85989188313518,110.6278773436,7,4.88040590286255,TRUE,"PN stop modes reached: local_norm"
12,0.769646387302891,1.5910766011778,106.034855441299,7,4.83305788040161,TRUE,"PN stop modes reached: local_norm"
13,0.658407281155739,1.3611139302077,101.46841088142,13,18.2678639888763,TRUE,"PN stop modes reached: local_norm"
14,0.563245868531947,1.16438839565236,96.9715585975131,21,0.693294048309326,TRUE,"PN stop modes reached: local_norm"
15,0.481838396230109,0.996096142901866,92.578664048768,11,0.796126127243042,TRUE,"PN stop modes reached: local_norm"
16,0.412196969481073,0.85212763164655,88.3200035455431,9,0.723422050476074,TRUE,"PN stop modes reached: local_norm"
17,0.352621009406314,0.728967284724337,84.211461383055,9,0.784393072128296,TRUE,"PN stop modes reached: local_norm"
18,0.301655726463164,0.623607640995718,80.2622253906302,13,0.694260835647583,TRUE,"PN stop modes reached: local_norm"
19,0.258056595837054,0.533475915939497,76.4798090041904,22,0.767996072769165,TRUE,"PN stop modes reached: local_norm"
20,0.220758967302882,0.456371176647336,72.8693831676861,17,4.91307806968689,TRUE,"PN stop modes reached: local_norm"
21,0.188852067456581,0.390410597088876,69.4336826078599,46,4.816330909729,TRUE,"PN stop modes reached: local_norm"
22,0.161556759475561,0.333983481251,66.1772508819439,27,4.98615193367004,TRUE,"PN stop modes reached: local_norm"
23,0.138206517322057,0.285711931439055,63.0970389044278,25,5.06107306480408,TRUE,"PN stop modes reached: local_norm"
24,0.118231149797118,0.244417201296511,60.1890305046189,32,4.4240460395813,TRUE,"PN stop modes reached: local_norm"
25,0.101142877001776,0.209090911915109,57.4365048122976,33,0.218212127685547,TRUE,"PN stop modes reached: local_norm"
26,0.0865244192055192,0.178870428159656,54.8333129166382,119,0.948364019393921,TRUE,"PN stop modes reached: local_norm"
27,0.0740188072633227,0.153017793920229,52.3770132224241,10,0.769308090209961,TRUE,"PN stop modes reached: local_norm"
28,0.0633206657610876,0.130901711910223,50.0636405639265,33,0.84955096244812,TRUE,"PN stop modes reached: local_norm"
29,0.054168756032011,0.111982127973692,47.8917794163667,14,0.794939041137695,TRUE,"PN stop modes reached: local_norm"
30,0.0463395969512803,0.0957970434650741,45.857420764191,16,5.48527407646179,TRUE,"PN stop modes reached: local_norm"
31,0.03964200773483,0.0819512336719061,43.9601958584585,16,0.28206205368042,TRUE,"PN stop modes reached: local_norm"
32,0.0339124394823833,0.0701065967948781,42.1978760854547,20,0.915106058120728,TRUE,"PN stop modes reached: local_norm"
33,0.0290109814653977,0.059973897816312,40.5672857709489,20,0.931549072265625,TRUE,"PN stop modes reached: local_norm"
34,0.0248179446371843,0.0513057056500027,39.0657867365047,25,1.05686116218567,TRUE,"PN stop modes reached: local_norm"
35,0.021230938937691,0.0438903511041895,37.6916726752238,18,0.940329074859619,TRUE,"PN stop modes reached: local_norm"
36,0.0181623730234537,0.0375467581167345,36.4410378202031,26,0.401071071624756,TRUE,"PN stop modes reached: local_norm"
37,0.0155373153684439,0.0321200220460756,35.3088757480524,23,0.32345986366272,TRUE,"PN stop modes reached: local_norm"
38,0.0132916645058849,0.0274776270439327,34.2888648408278,25,0.374470949172974,TRUE,"PN stop modes reached: local_norm"
39,0.0113705837300447,0.0235062101415248,33.3736597538305,22,0.334378957748413,TRUE,"PN stop modes reached: local_norm"
40,0.00972716203487634,0.0201087930312938,32.5553180459093,19,0.381348133087158,TRUE,"PN stop modes reached: local_norm"
41,0.00832126859087539,0.0172024139468184,31.8250971571768,29,0.521650075912476,TRUE,"PN stop modes reached: local_norm"
42,0.0071185727875427,0.0147161018136279,31.1741225920028,38,1.31578207015991,TRUE,"PN stop modes reached: local_norm"
43,0.00608970591180167,0.0125891432015631,30.5939357313799,11,0.954913139343262,TRUE,"PN stop modes reached: local_norm"
44,0.00520954399133618,0.0107695997592715,30.0769556080174,34,1.18252682685852,TRUE,"PN stop modes reached: local_norm"
45,0.00445659429055048,0.00921303992796748,29.6156574075324,15,0.396637916564941,TRUE,"PN stop modes reached: local_norm"
46,0.0038124704779531,0.00788145396408534,29.2041206466567,13,0.406496047973633,TRUE,"PN stop modes reached: local_norm"
47,0.00326144364904004,0.00674232577668861,28.8370229965828,23,0.399282932281494,TRUE,"PN stop modes reached: local_norm"
48,0.00279005824107379,0.00576783891476746,28.5098403234924,11,0.277482986450195,TRUE,"PN stop modes reached: local_norm"
49,0.00238680346075426,0.00493419731537282,28.2187925646064,21,0.469487190246582,TRUE,"PN stop modes reached: local_norm"
50,0.00204183220135076,0.00422104422588818,27.9604259999616,31,0.489082098007202,TRUE,"PN stop modes reached: local_norm"
51,0.0017467205855129,0.00361096511106137,27.73171341829,13,0.335585117340088,TRUE,"PN stop modes reached: local_norm"
52,0.00149426226201944,0.00308906240624825,27.5298961628542,18,0.30505108833313,TRUE,"PN stop modes reached: local_norm"
53,0.00127829243338299,0.00264259173273804,27.3522600605129,22,0.450732946395874,TRUE,"PN stop modes reached: local_norm"
54,0.00109353731722829,0.0022606506918767,27.1962610321658,17,0.312350034713745,TRUE,"PN stop modes reached: local_norm"
55,0.000935485365430906,0.00193391263863052,27.0595519479728,20,0.335813999176025,TRUE,"PN stop modes reached: local_norm"
56,0.000800277096307539,0.00165439893358759,26.9400199198312,25,0.469799041748047,TRUE,"PN stop modes reached: local_norm"
57,0.000684610849662435,0.00141528411200309,26.8357285867115,16,0.24479603767395,TRUE,"PN stop modes reached: local_norm"
58,0.000585662163315752,0.00121072921229753,26.7449191551688,23,0.408937931060791,TRUE,"PN stop modes reached: local_norm"
59,0.000501014802363725,0.00103573919404487,26.6660015695093,19,0.397181987762451,TRUE,"PN stop modes reached: local_norm"
60,0.000428601756969282,0.00088604096373046,26.597549730449,25,0.484944105148315,TRUE,"PN stop modes reached: local_norm"
